ObjectID	X	Y	Z	Timepoint	Radius	Precursors	Color
67	297.921875	236.0234375	50	265	10	"{11, 46, 59, 60, 65}"	"RGBColor[0.5554299497757018, 0.736071651007122, 0.40408150443697116]"
67	297.203125	243.2109375	22	300	10	"{11, 46, 59, 60, 65}"	"RGBColor[0.5554299497757018, 0.736071651007122, 0.40408150443697116]"
68	292.890625	211.5859375	50	265	10	"{11, 46, 59, 60, 65}"	"RGBColor[0.3255091845382199, 0.6107746391494002, 0.7059245362842567]"
68	293.609375	223.0859375	28	300	10	"{11, 46, 59, 60, 65}"	"RGBColor[0.3255091845382199, 0.6107746391494002, 0.7059245362842567]"
69	298.640625	261.8984375	59	272	10	"{11, 46, 59, 60, 66}"	"RGBColor[0.29528280006325736, 0.5591399126330339, 0.7564668502305062]"
69	304.390625	284.1796875	44	300	10	"{11, 46, 59, 60, 66}"	"RGBColor[0.29528280006325736, 0.5591399126330339, 0.7564668502305062]"
70	297.203125	247.5234375	59	272	10	"{11, 46, 59, 60, 66}"	"RGBColor[0.4196621173675282, 0.695084621946734, 0.5557857272694875]"
70	300.796875	261.1796875	43	300	10	"{11, 46, 59, 60, 66}"	"RGBColor[0.4196621173675282, 0.695084621946734, 0.5557857272694875]"
71	320.203125	206.5546875	75	159	10	"{11, 46, 58}"	"RGBColor[0.8929432993794452, 0.38958818843619547, 0.17938639999725392]"
71	320.203125	213.7421875	63	209	10	"{11, 46, 58}"	"RGBColor[0.8929432993794452, 0.38958818843619547, 0.17938639999725392]"
72	320.203125	193.6171875	80	159	10	"{11, 46, 58}"	"RGBColor[0.3944150588865083, 0.11299825802593243, 0.5930174252823337]"
72	315.171875	205.8359375	71	234	10	"{11, 46, 58}"	"RGBColor[0.3944150588865083, 0.11299825802593243, 0.5930174252823337]"
73	317.328125	200.0859375	69	235	10	"{11, 46, 58, 72}"	"RGBColor[0.9017785984216048, 0.5292492290348907, 0.20634402822994988]"
73	319.484375	213.7421875	41	300	10	"{11, 46, 58, 72}"	"RGBColor[0.9017785984216048, 0.5292492290348907, 0.20634402822994988]"
74	316.609375	213.7421875	72	235	10	"{11, 46, 58, 72}"	"RGBColor[0.7770186701191925, 0.7253555573989269, 0.26833732620538703]"
74	323.796875	241.7734375	49	300	10	"{11, 46, 58, 72}"	"RGBColor[0.7770186701191925, 0.7253555573989269, 0.26833732620538703]"
75	322.359375	225.2421875	66	210	10	"{11, 46, 58, 71}"	"RGBColor[0.25464678090748083, 0.421368431130481, 0.8095858276381045]"
75	320.921875	242.4921875	66	265	10	"{11, 46, 58, 71}"	"RGBColor[0.25464678090748083, 0.421368431130481, 0.8095858276381045]"
