0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 0 -1.135 0 1 1.17 {} Color 1 TrackId TrackColor 0 0 0
2 0.750003 -1.135 0 2 0.584984 {1} Color 1 TrackId TrackColor 0 0 0
3 -0.749997 -1.135 0 2 0.584989 {1} Color 1 TrackId TrackColor 0 0 0
4 -1.12559 -1.13431 0 3 0.293074 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
5 -0.376779 -1.13277 0 3 0.295375 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
6 1.1244 -1.13424 0 3 0.294111 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
7 0.373218 -1.1327 0 3 0.296412 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
11 1.23262 -1.08882 0 76 0.191993 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23227 -1.08844 0 77 0.192379 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23191 -1.08807 0 78 0.192764 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23156 -1.08769 0 79 0.193148 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.2312 -1.08732 0 80 0.193532 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23084 -1.08694 0 81 0.193916 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23049 -1.08657 0 82 0.194299 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23013 -1.0862 0 83 0.194681 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22978 -1.08582 0 84 0.195063 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22942 -1.08545 0 85 0.195445 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22906 -1.08507 0 86 0.195826 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22871 -1.0847 0 87 0.196207 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22835 -1.08432 0 88 0.196587 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.228 -1.08395 0 89 0.196966 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22764 -1.08358 0 90 0.197346 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22728 -1.0832 0 91 0.197724 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22693 -1.08283 0 92 0.198103 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22657 -1.08245 0 93 0.19848 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22622 -1.08208 0 94 0.198857 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22586 -1.0817 0 95 0.199234 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22551 -1.08133 0 96 0.19961 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22515 -1.08096 0 97 0.199986 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22479 -1.08058 0 98 0.200361 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22444 -1.08021 0 99 0.200736 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22408 -1.07983 0 100 0.201111 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22373 -1.07946 0 101 0.201484 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22337 -1.07908 0 102 0.201858 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22301 -1.07871 0 103 0.202231 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22266 -1.07834 0 104 0.202603 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.2223 -1.07796 0 105 0.202975 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22195 -1.07759 0 106 0.203346 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22159 -1.07721 0 107 0.203717 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22123 -1.07684 0 108 0.204088 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22088 -1.07646 0 109 0.204458 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22052 -1.07609 0 110 0.204827 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.22017 -1.07572 0 111 0.205196 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21981 -1.07534 0 112 0.205565 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21945 -1.07497 0 113 0.205933 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.2191 -1.07459 0 114 0.2063 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21874 -1.07422 0 115 0.206667 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21839 -1.07385 0 116 0.207034 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21803 -1.07347 0 117 0.2074 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21767 -1.0731 0 118 0.207766 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21732 -1.07272 0 119 0.208131 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21696 -1.07235 0 120 0.208495 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21661 -1.07197 0 121 0.20886 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.21625 -1.0716 0 122 0.209223 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
