41 -5 2 #Rotation x y z       
400.9 120.3 -306 #Center of root x y z     
689 393 200 #Dimension of raw data set x y z   
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1122 300 142.0263671875 123 1 10 {} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 {1122} "RGBColor[0., 1., 0.]" 4 0 0
1 274.0748697917 138.4378255208 123 75 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 274.0748697917 140.2320963542 123 76 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 275.869140625 139.3349609375 123 77 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 275.869140625 139.3349609375 123 78 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 276.7662760417 139.3349609375 123 79 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 277.6634114583 140.2320963542 123 80 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 277.6634114583 140.2320963542 123 81 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 278.560546875 139.3349609375 123 82 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 279.4576822917 139.3349609375 123 83 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 276.7662760417 141.1292317708 123 84 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 280.3548177083 138.4378255208 123 85 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 282.1490885417 139.3349609375 123 86 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 280.3548177083 141.1292317708 123 87 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
