0 0 0 #Rotation x y z
0 0 0 #Center of root x y z
1 1 1 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup
45 481.9267578125 172.0981445313 128 179 10 "{7, 41}" "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 1, 1}" "RGBColor[1., 1., 0.5019607843137255]" 4
46 410.2763671875 178.3286132813 142 118 10 "{7, 41}" "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 1, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
46 399.0615234375 177.7055664063 127 179 10 "{7, 41}" "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 1, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
43 328.0341796875 170.2290039063 140 135 10 "{7, 42}" "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 2, 1}" "RGBColor[1., 1., 0.5019607843137255]" 4
43 326.1650390625 168.3598632813 130 179 10 "{7, 42}" "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 2, 1}" "RGBColor[1., 1., 0.5019607843137255]" 4
44 329.9033203125 188.2973632813 140 135 10 "{7, 42}" "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 2, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
44 338.0029296875 187.6743164063 130 179 10 "{7, 42}" "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 2, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
8 110.5908203125 144.6840820313 129 1 10 {} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 8 {8} "RGBColor[0.5019607843137255, 1., 1.]" 5
8 220.8701171875 161.5063476563 152 110 10 {} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 8 {8} "RGBColor[0.5019607843137255, 1., 1.]" 5
47 237.0693359375 162.1293945313 152 111 10 {8} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 8 "{8, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 5
47 280.0595703125 167.7368164063 142 179 10 {8} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 8 "{8, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 5
48 207.1630859375 157.7680664063 152 111 10 {8} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 8 "{8, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 5
48 121.1826171875 145.3071289063 129 179 10 {8} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 8 "{8, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 5
9 362.9248046875 150.9145507813 143 1 10 {} "RGBColor[0.7481938813468204, 0.7322575213783066, 0.28068312450900557]" 9 {9} "RGBColor[1., 1., 0.5019607843137255]" 6
9 402.1767578125 146.5532226563 152 163 10 {} "RGBColor[0.7481938813468204, 0.7322575213783066, 0.28068312450900557]" 9 {9} "RGBColor[1., 1., 0.5019607843137255]" 6
49 419.6220703125 145.3071289063 152 164 10 {9} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 9 "{9, 1}" "RGBColor[1., 1., 0.5019607843137255]" 6
49 465.7275390625 144.0610351563 149 179 10 {9} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 9 "{9, 1}" "RGBColor[1., 1., 0.5019607843137255]" 6
50 391.5849609375 144.6840820313 152 164 10 {9} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 9 "{9, 2}" "RGBColor[1., 1., 0.5019607843137255]" 6
50 340.4951171875 149.0454101563 148 179 10 {9} "RGBColor[0.46211406286394313, 0.10927707574534277, 0.534986149129181]" 9 "{9, 2}" "RGBColor[1., 1., 0.5019607843137255]" 6
53 635.8193359375 142.1918945313 79 1 10 {} "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 {53} "RGBColor[1., 1., 0.5019607843137255]" 2
53 550.4619140625 168.9829101563 88 57 10 {} "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 {53} "RGBColor[1., 1., 0.5019607843137255]" 2
54 571.6455078125 165.8676757813 88 58 10 {53} "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 "{53, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
54 600.3056640625 150.2915039063 90 130 10 {53} "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 "{53, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
55 536.1318359375 172.0981445313 88 58 10 {53} "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 "{53, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
55 482.5498046875 172.7211914063 77 179 10 {53} "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 "{53, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
56 619.6201171875 146.5532226563 90 131 10 "{53, 54}" "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 "{53, 1, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
56 635.8193359375 142.8149414063 86 179 10 "{53, 54}" "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 "{53, 1, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
57 589.0908203125 155.2758789063 90 131 10 "{53, 54}" "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 "{53, 1, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
57 576.0068359375 152.7836914063 86 179 10 "{53, 54}" "RGBColor[0.8857188638852478, 0.34265650847558754, 0.1701805435178824]" 53 "{53, 1, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
58 629.5888671875 134.7153320313 129 1 10 {} "RGBColor[0.720555867681129, 0.7388753174804255, 0.2925206212179607]" 58 {58} "RGBColor[0.5019607843137255, 1., 1.]" 5
58 578.4990234375 142.8149414063 161 87 10 {} "RGBColor[0.720555867681129, 0.7388753174804255, 0.2925206212179607]" 58 {58} "RGBColor[0.5019607843137255, 1., 1.]" 5
59 599.6826171875 137.2075195313 161 88 10 {58} "RGBColor[0.720555867681129, 0.7388753174804255, 0.2925206212179607]" 58 "{58, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 5
59 632.0810546875 127.2387695313 150 179 10 {58} "RGBColor[0.720555867681129, 0.7388753174804255, 0.2925206212179607]" 58 "{58, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 5
60 557.9384765625 147.1762695313 161 88 10 {58} "RGBColor[0.720555867681129, 0.7388753174804255, 0.2925206212179607]" 58 "{58, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 5
60 396.5693359375 168.3598632813 148 179 10 {58} "RGBColor[0.720555867681129, 0.7388753174804255, 0.2925206212179607]" 58 "{58, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 5
