92;0;16;#Rotation;x;y;z;;;;;;;
315.6;117.3;-130.8;#Center;of;root;x;y;z;;;;;
682;406;130;#Dimension;of;raw;data;set;x;y;z;;;
ObjectID;X;Y;Z;Timepoint;Radius;Precursors;Color;Lineage;TrackID;TrackColor;TrackGroup;Layer;DivisionType
43;355.9853515625;158.7416992188;78;182;10;{6, 9, 39, 41};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
43;367.9736328125;177.3901367188;83;265;10;{6, 9, 39, 41};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;1
44;367.3076171875;165.4018554688;81;266;10;{6, 9, 39, 41, 43};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
44;367.3076171875;180.0541992188;80;350;10;{6, 9, 39, 41, 43};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
45;371.3037109375;181.3862304688;84;266;10;{6, 9, 39, 41, 43};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
45;373.9677734375;193.3745117188;89;350;10;{6, 9, 39, 41, 43};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
46;354.6533203125;195.3725585938;82;236;10;{6, 9, 39, 41, 42};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
46;353.3212890625;208.0268554688;82;293;10;{6, 9, 39, 41, 42};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;2
47;341.3330078125;178.7221679688;80;236;10;{6, 9, 39, 41, 42};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
47;343.3310546875;196.7045898438;86;350;10;{6, 9, 39, 41, 42};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
48;359.3154296875;210.6909179688;80;294;10;{6, 9, 39, 41, 42, 46};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
48;363.9775390625;220.0151367188;77;350;10;{6, 9, 39, 41, 42, 46};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
49;350.6572265625;207.3608398438;87;294;10;{6, 9, 39, 41, 42, 46};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
49;349.3251953125;208.6928710938;97;350;10;{6, 9, 39, 41, 42, 46};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
50;337.3369140625;151.4155273438;72;198;10;{6, 9, 39, 40};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
50;340.6669921875;176.0581054688;74;286;10;{6, 9, 39, 40};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
51;334.6728515625;141.4252929688;78;198;10;{6, 9, 39, 40};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
51;330.6767578125;151.4155273438;79;264;10;{6, 9, 39, 40};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
52;330.0107421875;146.7534179688;76;265;10;{6, 9, 39, 40, 51};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
