ID Time CellCorners
21 10 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.10475,0,-0.249981,-1.06107,0,-0.240196,-1.06433,0
20 10 0,-0.88456,0,0,-1.09228,0,-0.240196,-1.06433,0,-0.249981,-1.06107,0,-0.249009,-0.88819,0
19 10 -0.249981,-1.06107,0,-0.5,-1.10475,0,-0.4968,-0.897573,0,-0.249009,-0.88819,0
18 10 0.5,-1.10459,0,0.5,-1.33,0,0.242424,-1.33,0,0.259778,-1.0646,0
17 10 0.242424,-1.33,0,0,-1.33,0,0,-1.09228,0,0.249996,-1.06079,0,0.259778,-1.0646,0
16 10 0.4968,-0.897653,0,0.5,-1.10459,0,0.259778,-1.0646,0,0.249996,-1.06079,0,0.248996,-0.888205,0
15 10 0.249996,-1.06079,0,0,-1.09228,0,0,-0.88456,0,0.248996,-0.888205,0
14 10 -0.5,-1.10475,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.985021,-1.05127,0
13 10 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999702,-1.046,0,-0.985021,-1.05127,0
12 10 -0.4968,-0.897573,0,-0.5,-1.10475,0,-0.985021,-1.05127,0,-0.999702,-1.046,0,-0.993599,-0.923152,0
11 10 -0.999702,-1.046,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.993599,-0.923152,0
10 10 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19614,0
9 10 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.10459,0,0.999999,-1.19614,0
8 10 0.999999,-1.19614,0,0.5,-1.10459,0,0.4968,-0.897653,0,1.5,-0.94,0,1.5,-1.12,0
22 11 0,-1.0892,0,0,-1.33,0,-0.257586,-1.33,0,-0.240196,-1.06154,0
21 11 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.10305,0,-0.24998,-1.05827,0,-0.240196,-1.06154,0
