0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 0 -1.135 0 1 1.17 {} Color 1 TrackId TrackColor 0 0 0
2 -0.750003 -1.135 0 2 0.584984 {1} Color 1 TrackId TrackColor 0 0 0
3 0.749997 -1.135 0 2 0.584989 {1} Color 1 TrackId TrackColor 0 0 0
4 1.125 -1.13423 0 3 0.29365 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
5 0.374998 -1.1327 0 3 0.295957 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
6 -1.125 -1.13424 0 3 0.293631 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
7 -0.375007 -1.13271 0 3 0.295939 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
10 -1.3089 -1.12802 0 25 0.154298 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30873 -1.12771 0 26 0.154657 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30857 -1.12741 0 27 0.155017 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.3084 -1.1271 0 28 0.155376 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30823 -1.1268 0 29 0.155735 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30806 -1.1265 0 30 0.156095 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30789 -1.12619 0 31 0.156454 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30772 -1.12589 0 32 0.156813 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30755 -1.12559 0 33 0.157173 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30739 -1.12528 0 34 0.157532 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30722 -1.12498 0 35 0.157892 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30705 -1.12467 0 36 0.158251 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30688 -1.12437 0 37 0.15861 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30671 -1.12407 0 38 0.15897 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30654 -1.12376 0 39 0.159329 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30637 -1.12346 0 40 0.159688 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30621 -1.12316 0 41 0.160048 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30604 -1.12285 0 42 0.160407 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30587 -1.12255 0 43 0.160766 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.3057 -1.12225 0 44 0.161126 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30553 -1.12194 0 45 0.161485 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30536 -1.12164 0 46 0.161845 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30519 -1.12133 0 47 0.162204 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30503 -1.12103 0 48 0.162563 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30486 -1.12073 0 49 0.162923 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
